(((20, 0.0003, 0.0001), 19920, 1.3512712), 99.80706572532654, <tf.Tensor: shape=(), dtype=float32, numpy=19.476358>)
(((50, 0.0003, 0.0001), 20150, 1.291667), 99.84028935432434, <tf.Tensor: shape=(), dtype=float32, numpy=19.760601>)
(((60, 0.0003, 0.0001), 20120, 1.2856863), 99.85931515693665, <tf.Tensor: shape=(), dtype=float32, numpy=19.655146>)
(((80, 0.0003, 0.0001), 18570, 1.2802182), 99.88579154014587, <tf.Tensor: shape=(), dtype=float32, numpy=19.653934>)
(((100, 0.0003, 0.0001), 17900, 1.2787669), 99.89684820175171, <tf.Tensor: shape=(), dtype=float32, numpy=19.599388>)
(((150, 0.0003, 0.0001), 17880, 1.2786272), 99.90211725234985, <tf.Tensor: shape=(), dtype=float32, numpy=19.588482>)
(((20, 0.0003, 0.0003), 18140, 2.7639918), 99.96683597564697, <tf.Tensor: shape=(), dtype=float32, numpy=23.496357>)
(((50, 0.0003, 0.0003), 18520, 2.7639976), 99.96683597564697, <tf.Tensor: shape=(), dtype=float32, numpy=23.492722>)
(((60, 0.0003, 0.0003), 17990, 2.7639942), 99.96690154075623, <tf.Tensor: shape=(), dtype=float32, numpy=23.491508>)
(((80, 0.0003, 0.0003), 18940, 2.764001), 99.96690154075623, <tf.Tensor: shape=(), dtype=float32, numpy=23.49575>)
(((100, 0.0003, 0.0003), 17850, 2.763997), 99.96696710586548, <tf.Tensor: shape=(), dtype=float32, numpy=23.489693>)
(((150, 0.0003, 0.0003), 18430, 2.7639856), 99.96690154075623, <tf.Tensor: shape=(), dtype=float32, numpy=23.493328>)
(((20, 0.0003, 0.0005), 16980, 3.833458), 99.9683141708374, <tf.Tensor: shape=(), dtype=float32, numpy=29.213932>)
(((50, 0.0003, 0.0005), 18360, 3.8334565), 99.96812343597412, <tf.Tensor: shape=(), dtype=float32, numpy=29.221205>)
(((60, 0.0003, 0.0005), 17880, 3.8334413), 99.96805787086487, <tf.Tensor: shape=(), dtype=float32, numpy=29.22181>)
(((80, 0.0003, 0.0005), 17720, 3.8334446), 99.96805787086487, <tf.Tensor: shape=(), dtype=float32, numpy=29.224842>)
(((100, 0.0003, 0.0005), 18330, 3.8334484), 99.96812343597412, <tf.Tensor: shape=(), dtype=float32, numpy=29.221205>)
(((150, 0.0003, 0.0005), 18440, 3.8334422), 99.96812343597412, <tf.Tensor: shape=(), dtype=float32, numpy=29.224842>)
(((20, 0.0003, 0.001), 17640, 5.9764853), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.06423>)
(((50, 0.0003, 0.001), 17440, 5.976489), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.06726>)
(((60, 0.0003, 0.001), 18540, 5.976492), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.05999>)
(((80, 0.0003, 0.001), 18210, 5.9764585), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.066654>)
(((100, 0.0003, 0.001), 18690, 5.976474), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.064835>)
(((150, 0.0003, 0.001), 18450, 5.97645), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.061806>)
(((20, 0.0003, 0.003), 17150, 11.082064), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.916374>)
(((50, 0.0003, 0.003), 17620, 11.082087), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.91637>)
(((60, 0.0003, 0.003), 17600, 11.08205), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.913345>)
(((80, 0.0003, 0.003), 17800, 11.082064), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.909706>)
(((100, 0.0003, 0.003), 17700, 11.082022), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.913345>)
(((150, 0.0003, 0.003), 18520, 11.082062), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.91819>)
(((20, 0.0003, 0.005), 16300, 13.254419), 100.0, <tf.Tensor: shape=(), dtype=float32, numpy=146.14972>)
(((50, 0.0003, 0.005), 17130, 13.25444), 100.0, <tf.Tensor: shape=(), dtype=float32, numpy=146.14244>)
